ID_Product;Quantity;Quantity_Fourniss_After_Cumule;Qty Available
31222361234;1;1;1
31222405867;1;1;1
31302405872;4;4;4
31306781545;1;1;1
31306863135;1;1;1
31306881930;1;1;1
31311091774;1;1;1
31316772923;1;1;1
31316873721;1;1;1
31316873723;1;1;1
31321124448;1;1;1
31331113321;1;1;1
31336767333;2;2;2
31336779967;2;2;2
31336895351;2;2;2
31352467063;1;1;1
31356750703;2;2;2
31356750704;1;1;1
31422321254;1;1;1
31507516064;1;1;1
31601227836;1;1;1
31607565315;1;1;1
31607565316;2;4;4
31607565316;2;4;4
31608618540;1;1;1
31608618542;1;1;1
31608652137;1;1;1
32105A2ED29;6;6;6
32105A2ED30;2;3;3
32105A2ED30;1;3;3
32106765234;1;2;2
32106765234;1;2;2
32106765235;1;1;1
32106767781;1;1;1
32106774220;3;3;3
32106774221;1;1;1
32106777504;1;1;1
32106785993;1;1;1
32106791561;2;2;2
32106793623;1;1;1
32106793624;1;1;1
32106799960;1;1;1
32106799965;1;1;1
32106799966;1;1;1
32106854893;1;1;1
32106871892;1;1;1
32106871893;1;1;1
32106880051;1;1;1
32106887406;1;1;1
32109500958;1;1;1
32131096910;2;2;2
32136752478;1;1;1
32136761559;1;1;1
32302635621;20;20;20
32305A1D756;2;2;2
32305A27D80;1;1;1
32305A64D30;1;1;1
32305A6A990;2;3;3
32305A6A990;1;3;3
32305A6A9A0;3;3;3
32306763452;1;1;1
32306770515;1;1;1
32306779156;1;1;1
32306798541;1;1;1
32306798542;1;1;1
32306850540;1;2;2
32306850540;1;2;2
32306858714;1;1;1
32306877592;22;37;37
32306877592;15;37;37
32306880599;1;1;1
32306884004;1;1;1
32306884009;1;1;1
32306998946;1;2;2
32306998946;1;2;2
32307850403;1;1;1
32307856289;1;1;1
32307938709;1;2;2
32307938709;1;2;2
32308092206;1;1;1
32308094050;1;1;1
32311092263;1;1;1
32411138404;1;1;1
32416774218;1;1;1
32416774316;1;1;1
32717655837;1;1;1
32737659676;1;1;1
32737694935;1;1;1
33107582392;1;1;1
33109805673;1;1;1
33177726652;1;1;1
33207614492;1;1;1
33207614493;1;1;1
33211229372;1;1;1
33211229373;1;1;1
33217540117;1;1;1
33217547021;1;1;1
33217572446;1;1;1
33218740848;2;2;2
33306760598;8;8;8
33311090368;1;1;1
33316778690;1;1;1
33316855897;1;1;1
33326779388;1;1;1
33412409785;2;2;2
33416764180;1;1;1
33416867261;1;1;1
33418839482;1;1;1
33502290318;4;4;4
33506877738;1;1;1
33506880604;2;2;2
33509803516;1;1;1
33526771559;1;1;1
33526782214;1;1;1
33526861693;1;1;1
33526874383;2;2;2
33526883336;1;1;1
33536773597;1;1;1
33538522637;1;1;1
33538874243;9;9;9
33556751269;2;3;3
33556751269;1;3;3
33556761003;1;1;1
34102787166;1;1;1
34106784592;18;18;18
34106856301;18;18;18
34106877211;4;4;4
34108853555;2;2;2
34111162535;1;1;1
34111164330;1;1;1
34112157616;1;2;2
34112157616;1;2;2
34112167233;1;1;1
34112180419;1;1;1
34112284766;1;1;1
34112288849;3;3;3
34112288851;2;2;2
34112288856;1;1;1
34112288859;2;2;2
34112288871;2;2;2
34112288873;1;1;1
34112288880;1;1;1
34112289146;1;1;1
34112289147;3;3;3
34112301355;1;1;1
34112339271;3;3;3
34112409225;2;2;2
34112444444;3;3;3
34113400151;4;8;8
34113400151;4;8;8
34113427503;1;1;1
34116750129;1;1;1
34116750130;1;1;1
34116750265;1;2;2
34116750265;1;2;2
34116761242;2;2;2
34116761246;3;3;3
34116761277;3;3;3
34116761280;1;6;6
34116761280;4;6;6
34116761280;1;6;6
34116761282;1;1;1
34116763617;2;2;2
