ID_Product,Quantity,Quantity_Fourniss_After_Cumule,Quantity Available
10-1509,18,18,18
10-2192,2,2,2
10-0900,18,18,18
10-0233,6,6,6
10-0558,1,1,1
10-0456,14,14,14
10-5638,2,2,2
10-1520,1,1,1
10-5880,1,1,1
10-1581,4,4,4
10-0814,23,23,23
10-5619U,1,1,1
10-2018,2,2,2
10-1089,1,1,1
10-3920,1,1,1
10-1090,3,3,3
10-2080,1,1,1
10-1626,1,1,1
10-1087,1,1,1
10-0925,1,1,1
10-2114,2,2,2
10-2345,1,1,1
10-4162,1,1,1
10-1123,2,2,2
10-6133,1,1,1
10-1530,2,2,2
10-0248,2,2,2
10-3994,1,1,1
10-3900,1,1,1
10-0001,9,9,9
10-2671,2,2,2
10-4526,1,1,1
10-3501,2,2,2
10-1573,25,25,25
10-1694,1,1,1
10-2555,1,1,1
10-4632,2,2,2
10-2004,2,2,2
10-0463,1,1,1
10-3998,1,1,1
10-3933,1,1,1
10-3948,1,1,1
10-3909,1,1,1
10-5506,1,1,1
10-4151,2,2,2
10-4023,15,15,15
10-3341,1,1,1
10-0817,8,8,8
10-5546,2,2,2
10-5550,2,2,2
10-5549,1,1,1
10-4510,3,3,3
10-5562,1,1,1
10-4416,1,1,1
10-0533,1,1,1
10-3583,9,9,9
10-3938,1,1,1
10-3842,1,1,1
10-0707,1,1,1
10-0332,1,1,1
10-1583,2,2,2
10-4470,1,1,1
10-4385,2,2,2
10-5597,1,1,1
10-5739,1,1,1
10-0168,2,2,2
10-0658,4,4,4
10-3564,1,1,1
10-2457,1,1,1
10-6040,3,3,3
10-5803,1,1,1
10-2373,1,1,1
10-0929,1,1,1
10-5620,1,1,1
10-5769,63,63,63
10-2697,84,84,84
10-1131,1,1,1
10-6291,1,1,1
10-4523,14,14,14
10-5964,4,4,4
10-3166,1,1,1
10-6197,37,37,37
10-5885,2,2,2
10-5810,1,1,1
10-6175,2,2,2
10-6173,2,2,2
10-6326,1,1,1
10-6322,1,1,1
10-6255,1,1,1
10-4658,2,2,2
10-5195,1,1,1
10-1175,1,1,1
10-1401,1,1,1
10-4106,4,4,4
10-2129,13,13,13
10-2579U,2,2,2
10-6183,2,2,2
10-1114,2,2,2
10-4520,3,3,3
10-4633,12,12,12
10-1759,1,1,1
10-0744,40,40,40
10-2578U,1,1,1
10-6341,1,1,1
10-0981,1,1,1
10-1058,3,3,3
10-3480,54,54,54
10-1508,50,50,50
10-6243,1,1,1
10-0346,7,7,7
10-0764,2,2,2
10-4605,1,1,1
10-2044,2,2,2
10-3147,9,9,9
10-5520,2,2,2
10-2644,1,1,1
10-0600,1,1,1
10-4247,1,1,1
10-2322,1,1,1
10-0191,18,18,18
10-5216,2,2,2
10-5244,2,2,2
10-1793,1,1,1
10-4566,2,2,2
10-0971,1,1,1
10-0474,22,22,22
10-3748,2,2,2
10-2076,1,1,1
10-0375,14,14,14
10-5248,1,1,1
10-4733U,1,1,1
10-4459U,3,3,3
10-5528U,1,1,1
10-0885U,1,1,1
10-4461U,2,2,2
10-4252U,1,1,1
10-5860U,5,5,5
10-2134U,1,1,1
10-2210,1,1,1
10-3641,1,1,1
10-1982,1,1,1
10-0660,7,7,7
10-1661,7,7,7
10-3209,2,2,2
10-1972,2,2,2
10-2622,1,1,1
10-2983,1,1,1
10-0739,2,2,2
10-3871U,2,2,2
10-4117U,1,1,1
10-2185,1,1,1
10-2094,1,1,1
10-0284,2,2,2
10-2734,1,1,1
10-1297,7,7,7
10-4167,26,26,26
10-3370,6,6,6
10-5621,2,2,2
10-0297,2,2,2
10-1239,2,2,2
10-0738,1,1,1
10-5645,1,1,1
10-2639,1,1,1
10-1455,1,1,1
10-5565,1,1,1
10-5727,1,1,1
10-0936,14,14,14
10-3644,1,1,1
10-1488,2,2,2
10-2729,2,2,2
10-2560,27,27,27
10-1605,24,24,24
10-1125,3,3,3
10-1674,2,2,2
10-1460,2,2,2
10-1489,1,1,1
10-0870,1,1,1
10-5764U,1,1,1
10-3850U,1,1,1
10-5841U,1,1,1
10-2138U,1,1,1
10-2246U,1,1,1
10-1805,3,3,3
10-0086,21,21,21
10-1156,1,1,1
10-0102,36,36,36
10-3908,1,1,1
10-0671,31,31,31
10-1109,18,18,18
10-5704,15,15,15
10-2933,1,1,1
10-0116,30,30,30
10-0152,46,46,46
10-4288,1,1,1
10-3761,1,1,1
10-0656,30,30,30
10-0594,19,19,19
10-0661,5,5,5
10-0778,1,1,1
10-0078,1,1,1
10-0328,11,11,11
10-0715,4,4,4
10-0725,17,17,17
10-2326,8,8,8
10-0009,14,14,14
10-2104,2,2,2
10-0599,14,14,14
10-1209,1,1,1
10-0644,5,5,5
10-0380,1,1,1
10-4180,22,22,22
10-0628,97,97,97
10-0423,5,5,5
10-2125,65,65,65
10-0127,36,36,36
10-3359,1,1,1
10-1975,1,1,1
10-5595,2,2,2
10-6262,6,6,6
10-1137,1,1,1
10-2503U,1,1,1
10-3897U,1,1,1
10-2215U,1,1,1
10-4277U,1,1,1
10-3370U,1,1,1
10-1975U,1,1,1
10-2613U,1,1,1
10-6236U,1,1,1
10-1779U,1,1,1
10-4401U,1,1,1
10-1086,2,2,2
10-5451,1,1,1
10-5238,1,1,1
10-4208,1,1,1
10-5576,28,28,28
10-2503,2,2,2
10-1137U,1,1,1
10-5717,2,2,2
10-1254,22,22,22
10-2716,23,23,23
10-6000,38,38,38
10-0321,2,2,2
10-2482,36,36,36
10-1989,9,9,9
10-0918,38,38,38
10-1841,2,2,2
10-3302,100,100,100
10-3374,34,34,34
10-2610,2,2,2
10-1630,2,2,2
10-1569,2,2,2
10-2033,1,1,1
10-3376,16,16,16
10-2096,47,47,47
10-0620,10,10,10
10-0669,20,20,20
10-3907,1,1,1
10-2939,2,2,2
10-3510,1,1,1
10-5833,1,1,1
10-5801,2,2,2
10-5805,2,2,2
10-1457,1,1,1
10-5838,2,2,2
10-5735,2,2,2
10-5704U,1,1,1
10-4722U,1,1,1
10-5822,2,2,2
10-4525,9,9,9
10-3176,1,1,1
10-5834,1,1,1
10-0995,16,16,16
10-1774,9,9,9
10-1664,32,32,32
10-5759,2,2,2
10-3992,10,10,10
10-0510,2,2,2
10-1681,2,2,2
10-4232,8,8,8
10-1647,8,8,8
10-0092,4,4,4
10-1863,12,12,12
10-5842,2,2,2
10-5840,1,1,1
10-2207,1,1,1
10-5848,3,3,3
10-0640,2,2,2
10-5910,2,2,2
10-2100,12,12,12
10-6253,1,1,1
10-0198,9,9,9
10-3737,59,59,59
10-6125,1,1,1
10-0550,8,8,8
10-5879,1,1,1
10-4579,1,1,1
10-6309,2,2,2
10-0785,13,13,13
10-6355,27,27,27
10-1575,1,1,1
10-1029,17,17,17
10-0017,15,15,15
10-2128,4,4,4
10-3411,9,9,9
10-1838,3,3,3
10-0825,10,10,10
10-2111,2,2,2
10-0217,27,27,27
10-3158,6,6,6
10-1298,1,1,1
10-1030,1,1,1
10-1337,1,1,1
10-0845,5,5,5
10-0933,14,14,14
10-0408,4,4,4
10-2516,1,1,1
10-4523U,3,3,3
10-5590,46,46,46
10-0630,17,17,17
10-4111,1,1,1
10-2932,17,17,17
10-4574,2,2,2
10-0894,3,3,3
10-6227U,1,1,1
10-5769U,3,3,3
10-5903,2,2,2
10-0451,13,13,13
10-2731,2,2,2
10-4488,13,13,13
10-1618,3,3,3
10-2728,1,1,1
10-0824,24,24,24
10-0486,6,6,6
10-1565,2,2,2
10-0488,2,2,2
10-0165,1,1,1
10-1180,1,1,1
10-0717,2,2,2
10-0457,1,1,1
10-2099,3,3,3
10-4370,1,1,1
10-3765,1,1,1
10-3162,2,2,2
10-3997,3,3,3
10-0574,1,1,1
10-6351,1,1,1
10-0693,1,1,1
10-1317,1,1,1
10-1422,1,1,1
10-3250,1,1,1
10-6345,1,1,1
10-4856,1,1,1
10-4178,1,1,1
10-4723,1,1,1
10-2162,1,1,1
10-0452,1,1,1
10-6229,1,1,1
10-1751,1,1,1
10-4468,6,6,6
10-5854,2,2,2
10-3184,1,1,1
10-0154,28,28,28
10-4473,1,1,1
10-4655,32,32,32
10-0713,48,48,48
10-0295,19,19,19
10-4286,2,2,2
10-0074,23,23,23
10-0282,4,4,4
10-0390,49,49,49
10-4917,1,1,1
10-6325,1,1,1
10-0786,2,2,2
10-0980,1,1,1
10-1645,2,2,2
10-1176,2,2,2
10-2213,6,6,6
10-2566,1,1,1
10-0093,40,40,40
10-0627,1,1,1
10-4149,10,10,10
10-0611,27,27,27
10-0371,1,1,1
10-0434,1,1,1
10-0910,47,47,47
10-3582,18,18,18
10-1702,1,1,1
10-0210,125,125,125
10-0915,155,155,155
10-0205,12,12,12
10-0917U,17,17,17
10-0723U,1,1,1
10-1005,34,34,34
10-1120,36,36,36
10-4477,11,11,11
10-4239,4,4,4
10-4598,1,1,1
10-4139,1,1,1
10-5630,1,1,1
10-1092,9,9,9
10-1957,24,24,24
10-0030,7,7,7
10-1398,44,44,44
10-0934,26,26,26
10-0185,18,18,18
10-1135,1,1,1
10-2157,4,4,4
10-3240,63,63,63
10-4684,8,8,8
10-0847,9,9,9
10-2413,1,1,1
10-4210U,1,1,1
10-5516U,1,1,1
10-4035U,1,1,1
10-0139,24,24,24
10-0109,1,1,1
10-4448,9,9,9
10-3286,13,13,13
10-2544,18,18,18
10-2015,1,1,1
10-0909,12,12,12
10-2140,40,40,40
10-0924,146,146,146
10-2163,6,6,6
10-0922,15,15,15
10-0157,21,21,21
10-0951,7,7,7
10-1651,5,5,5
10-0146,11,11,11
10-0968,3,3,3
10-5612U,3,3,3
10-1726,7,7,7
10-2215,4,4,4
10-1873,12,12,12
10-6232,1,1,1
10-2078,2,2,2
10-0390U,3,3,3
10-0476U,1,1,1
10-0442,20,20,20
10-2239,10,10,10
10-4514,1,1,1
10-2011,1,1,1
10-4089,5,5,5
10-0441,17,17,17
10-3408,15,15,15
10-5504,10,10,10
10-0306,1,1,1
10-6211,6,6,6
10-0684U,1,1,1
10-0453U,2,2,2
10-0935,7,7,7
10-2172,3,3,3
10-1196,7,7,7
10-4472,6,6,6
10-3924,9,9,9
10-1820,7,7,7
10-0648,8,8,8
10-4591,13,13,13
10-1557,5,5,5
10-0838,2,2,2
10-0334,12,12,12
10-2023,28,28,28
10-3387,3,3,3
10-3326,1,1,1
10-4622,1,1,1
10-0986,4,4,4
10-4587,2,2,2
10-0267,1,1,1
10-0947,3,3,3
10-3721,1,1,1
10-0024,6,6,6
10-1173,1,1,1
10-1810,1,1,1
10-0678,4,4,4
10-0138,44,44,44
10-3406,2,2,2
10-1610,1,1,1
10-0960,26,26,26
10-4449,2,2,2
10-1509U,2,2,2
10-1508U,4,4,4
10-4441,8,8,8
10-4392U,2,2,2
10-5577U,2,2,2
10-0581U,1,1,1
10-0128,26,26,26
10-6324,2,2,2
10-1346,1,1,1
10-0355U,1,1,1
10-6154,3,3,3
10-6301,2,2,2
10-6321,5,5,5
10-1743,2,2,2
10-0639,1,1,1
10-0829,1,1,1
10-0642,35,35,35
10-0084,40,40,40
10-0952,1,1,1
