ID_Product,Quantity,Quantity_Fourniss_After_Cumule,AVAILABLE
15SKV013,100,100,100
15SKV008,100,100,100
15SKV001,0,0,0
15SKV006,100,100,100
15SKV007,100,100,100
16SKV051,100,100,100
16SKV052,100,100,100
16SKV054,100,100,100
16SKV053,100,100,100
16SKV061,100,100,100
16SKV062,100,100,100
16SKV063,100,100,100
16SKV064,100,100,100
16SKV001,100,100,100
16SKV002,100,100,100
16SKV003,100,100,100
16SKV041,100,100,100
16SKV042,100,100,100
16SKV044,100,100,100
16SKV043,100,100,100
18SKV010,100,100,100
18SKV007,100,100,100
18SKV005,100,100,100
18SKV002,100,100,100
18SKV001,100,100,100
18SKV003,100,100,100
18SKV011,100,100,100
18SKV008,100,100,100
18SKV006,100,100,100
18SKV009,100,100,100
06SKV086,100,100,100
07SKV007,100,100,100
07SKV013,100,100,100
07SKV023,100,100,100
07SKV025,100,100,100
07SKV052,100,100,100
07SKV058,100,100,100
07SKV068,0,0,0
07SKV072,100,100,100
07SKV087,100,100,100
07SKV089,100,100,100
07SKV091,100,100,100
07SKV094,100,100,100
07SKV095,100,100,100
07SKV104,100,100,100
07SKV128,100,100,100
07SKV131,100,100,100
07SKV132,100,100,100
07SKV133,100,100,100
07SKV134,100,100,100
07SKV135,0,0,0
07SKV136,100,100,100
07SKV148,100,100,100
06SKV097,100,100,100
06SKV095,100,100,100
06SKV068,100,100,100
06SKV069,100,100,100
06SKV064,100,100,100
06SKV043,100,100,100
06SKV047,100,100,100
95SKV602,100,100,100
03SKV141,100,100,100
03SKV908,100,100,100
08SKV002,100,100,100
06SKV005,100,100,100
06SKV025,100,100,100
06SKV022,100,100,100
06SKV023,100,100,100
06SKV016,100,100,100
06SKV030,100,100,100
17SKV201,100,100,100
17SKV211,100,100,100
07SKV096,100,100,100
07SKV101,100,100,100
07SKV103,100,100,100
03SKV024,100,100,100
02SKV202,100,100,100
02SKV742,100,100,100
02SKV277,100,100,100
02SKV011,100,100,100
02SKV264,100,100,100
02SKV240,0,0,0
10SKV079,100,100,100
10SKV140,100,100,100
10SKV134,0,0,0
10SKV080,100,100,100
10SKV159,100,100,100
10SKV112,100,100,100
10SKV019,100,100,100
10SKV012,100,100,100
10SKV156,0,0,0
10SKV105,100,100,100
10SKV111,0,0,0
10SKV117,0,0,0
10SKV150,100,100,100
10SKV120,100,100,100
10SKV052,100,100,100
10SKV026,100,100,100
10SKV078,100,100,100
10SKV103,0,0,0
10SKV082,100,100,100
10SKV127,100,100,100
10SKV179,0,0,0
10SKV118,100,100,100
10SKV133,0,0,0
10SKV013,0,0,0
10SKV165,100,100,100
10SKV128,0,0,0
10SKV174,0,0,0
10SKV081,0,0,0
10SKV132,0,0,0
10SKV148,100,100,100
10SKV175,100,100,100
10SKV114,0,0,0
10SKV155,100,100,100
10SKV142,100,100,100
10SKV130,100,100,100
10SKV147,100,100,100
10SKV108,100,100,100
10SKV007,100,100,100
10SKV141,0,0,0
14SKV023,100,100,100
14SKV022,100,100,100
02SKV705,100,100,100
02SKV710,0,0,0
02SKV278,100,100,100
02SKV701,0,0,0
02SKV273,100,100,100
05SKV003,100,100,100
05SKV007,100,100,100
01SKV031,100,100,100
01SKV032,100,100,100
01SKV061,100,100,100
01SKV062,100,100,100
01SKV071,100,100,100
01SKV072,100,100,100
17SKV221,100,100,100
10SKV004,100,100,100
10SKV077,0,0,0
17SKV117,100,100,100
17SKV120,100,100,100
17SKV118,0,0,0
08SKV227,100,100,100
08SKV228,0,0,0
08SKV230,0,0,0
08SKV226,0,0,0
08SKV216,100,100,100
08SKV217,100,100,100
