ID_Product;Quantity;Quantity_Fourniss_After_Cumule;Quantites
NTY AMORTISSEUR AVANT;5902048347244;4090138207437312;4090138207437312
NTY AMORTISSEUR ARRIERE;5902048347251;2868407966829846;2868407966829846
NTY AMORTISSEUR AVANT;5902048347268;4090138207437312;4090138207437312
NTY AMORTISSEUR AVANT;5902048347275;4090138207437312;4090138207437312
NTY AMORTISSEUR ARRIERE;5902048347282;2868407966829846;2868407966829846
NTY AMORTISSEUR AVANT;5902048347299;4090138207437312;4090138207437312
NTY AMORTISSEUR AVANT;5902048347305;4090138207437312;4090138207437312
NTY AMORTISSEUR ARRIERE;5902048347312;2868407966829846;2868407966829846
NTY AMORTISSEUR AVANT;5902048347329;4090138207437312;4090138207437312
NTY AMORTISSEUR AVANT;5902048347336;4090138207437312;4090138207437312
NTY AMORTISSEUR AVANT;5902048374073;4090138207437312;4090138207437312
NTY AMORTISSEUR AVANT;5902048374080;4090138207437312;4090138207437312
NTY AMORTISSEUR ARRIERE;5902048374097;2868407966829846;2868407966829846
NTY AMORTISSEUR ARRIERE;5902048374103;2868407966829846;2868407966829846
NTY AMORTISSEUR AVANT;5902048374110;4090138207437312;4090138207437312
NTY AMORTISSEUR AVANT;5902048374127;4090138207437312;4090138207437312
NTY AMORTISSEUR AVANT;5902048414137;4090138207437312;4090138207437312
NTY AMORTISSEUR AVANT;5902048414144;4090138207437312;4090138207437312
NTY AMORTISSEUR AVANT;5902048414151;4090138207437312;4090138207437312
NTY AMORTISSEUR AVANT;5902048414168;4090138207437312;4090138207437312
NTY AMORTISSEUR ARRIERE;5902048414175;2868407966829846;2868407966829846
NTY AMORTISSEUR AVANT;5902048414182;4090138207437312;4090138207437312
NTY AMORTISSEUR AVANT;5902048414199;4090138207437312;4090138207437312
NTY AMORTISSEUR ARRIERE;5902048414205;2868407966829846;2868407966829846
NTY AMORTISSEUR ARRIERE;5902048407498;2868407966829846;2868407966829846
NTY AMORTISSEUR AVANT;5902048433336;4090138207437312;4090138207437312
NTY AMORTISSEUR AVANT;5902048433343;4090138207437312;4090138207437312
NTY AMORTISSEUR ARRIERE;5902048433350;2868407966829846;2868407966829846
NTY AMORTISSEUR ARRIERE;5902048433367;2868407966829846;2868407966829846
NTY AMORTISSEUR AVANT;5902048433374;4090138207437312;4090138207437312
NTY AMORTISSEUR AVANT;5902048433381;4090138207437312;4090138207437312
NTY AMORTISSEUR ARRIERE;5902048433398;2868407966829846;2868407966829846
NTY AMORTISSEUR AVANT;5902048433404;4090138207437312;4090138207437312
NTY AMORTISSEUR AVANT;5902048433411;4090138207437312;4090138207437312
NTY AMORTISSEUR ARRIERE;5902048433428;2868407966829846;2868407966829846
NTY AMORTISSEUR AVANT;5902048328946;4090138207437312;4090138207437312
NTY AMORTISSEUR ARRIERE;5902048328953;2868407966829846;2868407966829846
NTY AMORTISSEUR ARRIERE;5902048328960;2868407966829846;2868407966829846
NTY AMORTISSEUR AVANT;5902048328977;4090138207437312;4090138207437312
NTY AMORTISSEUR AVANT;5902048328984;4090138207437312;4090138207437312
NTY AMORTISSEUR ARRIERE;5902048328991;2868407966829846;2868407966829846
NTY AMORTISSEUR AVANT;5902048329004;4090138207437312;4090138207437312
NTY AMORTISSEUR AVANT;5902048329011;4090138207437312;4090138207437312
NTY AMORTISSEUR ARRIERE;5902048329028;2868407966829846;2868407966829846
NTY AMORTISSEUR AVANT;5902048329035;4090138207437312;4090138207437312
NTY AMORTISSEUR ARRIERE;5902048329042;2868407966829846;2868407966829846
NTY AMORTISSEUR AVANT;5902048329059;4090138207437312;4090138207437312
NTY AMORTISSEUR AVANT;5902048329066;4090138207437312;4090138207437312
NTY AMORTISSEUR ARRIERE;5902048329073;2868407966829846;2868407966829846
NTY AMORTISSEUR ARRIERE;5902048329080;2868407966829846;2868407966829846
NTY AMORTISSEUR AVANT;5902048329097;4090138207437312;4090138207437312
NTY AMORTISSEUR AVANT;5902048329103;4090138207437312;4090138207437312
NTY AMORTISSEUR ARRIERE;5902048329110;2868407966829846;2868407966829846
NTY AMORTISSEUR ARRIERE;5902048329127;2868407966829846;2868407966829846
NTY AMORTISSEUR AVANT;5902048329134;4090138207437312;4090138207437312
NTY AMORTISSEUR AVANT;5902048329141;4090138207437312;4090138207437312
