ID_Product,Quantity,Quantity_Fourniss_After_Cumule,on_depot
A0078,10,10,10
A0079,5,5,5
A0080,10,10,10
A0080PR,8,8,8
A0081,10,10,10
A0082,10,10,10
A0084,10,10,10
A0085,10,10,10
A0086,1,1,1
A0087,10,10,10
A0089,0,0,0
A0090,10,10,10
A0091,7,7,7
A0092,10,10,10
AFP0056INA,10,10,10
AFP0056V,0,0,0
AFP0057,10,10,10
AFP0057INA,10,10,10
AFP0057V,0,0,0
AFP0058,10,10,10
AFP0058INA,10,10,10
AFP0058V,10,10,10
AFP0059,10,10,10
AFP0059INA,10,10,10
AFP0059V,10,10,10
AFP0060,10,10,10
AFP0060LITENS,10,10,10
AFP0061,10,10,10
AFP0062,10,10,10
AFP0063,10,10,10
AFP0063LITENS,10,10,10
AFP0064,10,10,10
AFP0065,4,4,4
AFP0065V,0,0,0
AFP0066,10,10,10
AFP0066INA,10,10,10
AFP0066LUK,1,1,1
AFP0067,10,10,10
AFP0067INA,10,10,10
AFP0068,1,1,1
AFP0068INA,10,10,10
AFP0069,10,10,10
AFP0069INA,10,10,10
AFP0070,10,10,10
AFP0070INA,10,10,10
AFP0070S,0,0,0
AFP0071,10,10,10
AFP0071V,1,1,1
AFP0072,10,10,10
AFP0072INA,10,10,10
AFP0073,10,10,10
AFP0073V,10,10,10
AFP0074,2,2,2
AFP0075,10,10,10
AFP0075LITENS,10,10,10
AFP0076,10,10,10
AFP0076INA,10,10,10
AFP0076V,10,10,10
AFP0077,7,7,7
AFP0077INA,4,4,4
AFP0078,10,10,10
AFP0078LITENS,8,8,8
AFP0079,10,10,10
AFP0080,10,10,10
ARC3041,10,10,10
ARC3042,0,0,0
ARC3043,10,10,10
ARC3044,0,0,0
ARC3044VALEO,9,9,9
ARC3044S,5,5,5
ARC3045,10,10,10
ARC3046,10,10,10
ARC3046S,10,10,10
ARC3047,10,10,10
ARC3048,10,10,10
ARC3049,10,10,10
ARC3050,10,10,10
ARC3051,10,10,10
ARC3052,1,1,1
ARC3053,3,3,3
ARC3054,7,7,7
ARC3055,10,10,10
ARC3056,10,10,10
ARC3060,1,1,1
ARC3061,9,9,9
ARC3062,10,10,10
ARC3063,10,10,10
ARC3064,9,9,9
ARC3065,10,10,10
ARC3066,0,0,0
ARC3067,10,10,10
ARC3068,1,1,1
ARC3069,10,10,10
ARC3075,10,10,10
ARC3092,1,1,1
ARC3094,0,0,0
ARC3097,10,10,10
ARC3098,10,10,10
ARC3099,5,5,5
ARC3100,10,10,10
ARC3101,10,10,10
ARC3102,5,5,5
ARC3103,0,0,0
ARC3104,8,8,8
ARC3105,10,10,10
ARC3106,0,0,0
ARC3107,2,2,2
ARC3108,10,10,10
ARC3109,0,0,0
ARC3110,2,2,2
ARC3111,6,6,6
ARC3112,10,10,10
ARC3113,6,6,6
ARC3114,10,10,10
ABR3131S,8,8,8
ABR3132S,5,5,5
ABR3133S,5,5,5
ABR3134S,5,5,5
ABR3135S,0,0,0
ABR3136S,0,0,0
ABR3137S,10,10,10
ABR3138S,4,4,4
ABR4001,10,10,10
ABR4002,10,10,10
ABR4003,10,10,10
ABR4004,1,1,1
ABR4005,10,10,10
ABR4006,10,10,10
ABR4007,1,1,1
ABR4008,10,10,10
ABR4008SR,0,0,0
ABR4009,10,10,10
ABR4009SR,8,8,8
ABR4010,10,10,10
ABR4011,9,9,9
ABR4012,0,0,0
ABR4015,10,10,10
ABR4016,6,6,6
ABR4017,5,5,5
ABR4018,6,6,6
ABR4019,8,8,8
ABR4020,3,3,3
ABR4021,5,5,5
ABR4022,10,10,10
ABR4023,10,10,10
ABR4024,8,8,8
ABR4025,10,10,10
ABR4026,1,1,1
ABR4027,10,10,10
ABR4028,0,0,0
ABR4029,1,1,1
ABR4030,10,10,10
ABR4031,10,10,10
ABR4032,10,10,10
ABR4033,10,10,10
ABR4034,10,10,10
ABR4035,7,7,7
ABR4036,10,10,10
ABR4037,8,8,8
ABR4038,10,10,10
ABR4039,10,10,10
ABR4040,10,10,10
ABR4041,10,10,10
ABR4042,1,1,1
