ID_Product,Quantity,Quantity_Fourniss_After_Cumule,(2) Main Warehouse
0040150020,0,0,0
0040150021,10,10,10
0040150022,10,10,10
0040150023,0,0,0
0040150024,10,10,10
0040150025,0,0,0
0040160002,5,5,5
0040160003,10,10,10
0040160004,1,1,1
0040160008,0,0,0
0040160009,10,10,10
0040160010,10,10,10
0040160011,10,10,10
0040160016,0,0,0
0040160018,10,10,10
0040160019,10,10,10
0040160020,8,8,8
0040160021,4,4,4
0040160022,0,0,0
0040160023,10,10,10
0040160024,10,10,10
0040160025,10,10,10
0040160026,10,10,10
0040160027,10,10,10
0040160028,10,10,10
0040160029,5,5,5
0040160031,10,10,10
0040160032,10,10,10
0040160033,0,0,0
0040160034,0,0,0
0040160035,0,0,0
0040160036,0,0,0
0040160037,0,0,0
0040160038,0,0,0
0040170001,8,8,8
0040170002,10,10,10
0040170003,7,7,7
0040170004,10,10,10
0040170006,10,10,10
0040170009,0,0,0
0040170014,1,1,1
0040170016,10,10,10
0040170017,0,0,0
0040170021,7,7,7
0040170022,7,7,7
0040170027,6,6,6
0040170031,8,8,8
0040170032,10,10,10
0040170033B,10,10,10
0040170035B,0,0,0
0040170036B,0,0,0
0040170037B,10,10,10
0040170039B,0,0,0
0040170040B,0,0,0
0040170046,10,10,10
0040170047,10,10,10
0040170048,2,2,2
0040170049,0,0,0
0040170050,9,9,9
0040170051,0,0,0
0040170052,10,10,10
0040170053,10,10,10
0040170054,10,10,10
0040170055,10,10,10
0040170056,10,10,10
0040170057,10,10,10
0040170058,0,0,0
0040170059,0,0,0
0040170060,10,10,10
0040180001,10,10,10
0040180002,10,10,10
0040180003,0,0,0
0040180004,9,9,9
0040180005,10,10,10
0040180008,10,10,10
0040180009,10,10,10
0040180010,0,0,0
0040180011,4,4,4
0040180012,10,10,10
0040180013,10,10,10
0040180014,10,10,10
0040180015,1,1,1
0040180016,10,10,10
0040180017,0,0,0
0040180018,6,6,6
0040180019,0,0,0
0040180020,5,5,5
0040180021,0,0,0
0040180022,0,0,0
0040220001,10,10,10
0040220002,0,0,0
0040220003,10,10,10
0040220004,0,0,0
0040220005,0,0,0
0040220006,4,4,4
0040220007,10,10,10
0040220008,10,10,10
0040250003,10,10,10
0040250004,10,10,10
0040250005,0,0,0
0040250006,10,10,10
0040250007,10,10,10
0040250008,10,10,10
0040250009,10,10,10
0040250011,10,10,10
0040250012,10,10,10
0040250015,10,10,10
0040250016,10,10,10
0040250020,0,0,0
0040250021,10,10,10
0040250022,0,0,0
0040250023,10,10,10
0040250025,10,10,10
0040250026,0,0,0
0040250027,10,10,10
0040250028,10,10,10
0040250029,10,10,10
0040250030,10,10,10
0040250031,0,0,0
0040250032,0,0,0
0040250033,0,0,0
0040250034,0,0,0
0040250035,0,0,0
0040250036,0,0,0
0040250037,0,0,0
0040250038,0,0,0
0040250039,0,0,0
004026003,10,10,10
004026004,10,10,10
004026005,10,10,10
004026006,10,10,10
004026007,10,10,10
004026008,0,0,0
004026009,10,10,10
004026010,10,10,10
004026010RP,1,1,1
004026011,10,10,10
004026012,10,10,10
004026013,10,10,10
004026014,10,10,10
004026015,10,10,10
004026016,10,10,10
004026017,10,10,10
004026018,10,10,10
004026019,10,10,10
004026020,10,10,10
004026021,10,10,10
004026022,10,10,10
004026023,10,10,10
004026024,10,10,10
004026025,10,10,10
004026026,10,10,10
004026027,10,10,10
004026028,10,10,10
004026029,7,7,7
004026030,10,10,10
004026031,10,10,10
004026032,10,10,10
004026033,10,10,10
004026034,10,10,10
004026035,0,0,0
004026036,10,10,10
004026037,10,10,10
004026038,10,10,10
004026039,5,5,5
004026040,4,4,4
004026041,10,10,10
004026042,10,10,10
004026043,6,6,6
004026044,10,10,10
004027001,10,10,10
004027002,10,10,10
004027003,0,0,0
004027004,10,10,10
004027005,0,0,0
004027006,0,0,0
004027007,10,10,10
004027008,10,10,10
004027009,10,10,10
004027010,10,10,10
004027011,10,10,10
004028001,9,9,9
004028002,0,0,0
004028003,10,10,10
004028004,10,10,10
004028005,10,10,10
004028006,10,10,10
004028007,4,4,4
004028008,10,10,10
004028009,10,10,10
004028010,1,1,1
004028011,0,0,0
004028012,10,10,10
004028013,10,10,10
004028014,4,4,4
004028015,10,10,10
004028016,10,10,10
004028017,10,10,10
004028018,10,10,10
004028019,10,10,10
004028020,10,10,10
004028021,10,10,10
004028022,10,10,10
004028023,10,10,10
004028024,10,10,10
004028025,10,10,10
004028026,10,10,10
004028027,0,0,0
004028028,0,0,0
004028029,10,10,10
004028030,10,10,10
004028031,10,10,10
004028032,10,10,10
004028033,10,10,10
004028034,10,10,10
004028035,7,7,7
004028037,10,10,10
004028038,10,10,10
004028039,0,0,0
004028040,10,10,10
004028041,10,10,10
004028042,9,9,9
004028043,8,8,8
004028044,1,1,1
004028045,10,10,10
004028046,10,10,10
004028047,10,10,10
004028048,10,10,10
004028049,10,10,10
004028050,7,7,7
004028051,10,10,10
004028052,10,10,10
004028053,0,0,0
004028054,0,0,0
004028055,10,10,10
004028056,10,10,10
004028057,10,10,10
004028058,10,10,10
004028059,10,10,10
004028060,10,10,10
004028061,1,1,1
004028062,10,10,10
004028063,10,10,10
004028064,5,5,5
004028065,9,9,9
004028067,10,10,10
004028068,10,10,10
004028069,10,10,10
004028070,10,10,10
004028071,10,10,10
004028072,8,8,8
004028073,10,10,10
004028074,6,6,6
004028075,10,10,10
004028076,3,3,3
004028077,0,0,0
004028078,0,0,0
004028079,10,10,10
004028080,10,10,10
004028081,10,10,10
004028082,2,2,2
004028083,3,3,3
004028084,10,10,10
004028085,10,10,10
004028086,10,10,10
004028087,10,10,10
004028088,4,4,4
004028089,10,10,10
004028090,0,0,0
004028091,10,10,10
004028092,10,10,10
004028093,8,8,8
004028094,10,10,10
004028095,10,10,10
004028096,0,0,0
004028097,10,10,10
004028098,10,10,10
004028099,10,10,10
004028100,4,4,4
004028101,8,8,8
004028102,10,10,10
004028103,10,10,10
004028104,10,10,10
004028105,10,10,10
004028106,0,0,0
004028107,10,10,10
004028108,4,4,4
004028109,10,10,10
004028110,7,7,7
004028111,3,3,3
004028112,10,10,10
004028113,10,10,10
004028114,10,10,10
004028115,10,10,10
004028116,0,0,0
004028117,10,10,10
004028118,10,10,10
004028119,10,10,10
004028120,6,6,6
004028121,10,10,10
004028122,0,0,0
004028123,0,0,0
004028124,10,10,10
004028125,10,10,10
004028126,10,10,10
004028127,10,10,10
004028128,10,10,10
004028129,10,10,10
004028130,10,10,10
004028131,10,10,10
004028132,10,10,10
004028133,10,10,10
004028134,10,10,10
004028135,10,10,10
004028136,10,10,10
004028137,10,10,10
004028138,10,10,10
004028139,10,10,10
004028140,10,10,10
004028141,10,10,10
004028142,10,10,10
004028143,0,0,0
004028144,10,10,10
004028145,6,6,6
004028146,10,10,10
004028147,10,10,10
004028148,10,10,10
00404462,0,0,0
00407841,10,10,10
00407841S,10,10,10
00407842,10,10,10
00407842S,10,10,10
00411482,0,0,0
00412630,10,10,10
004168711,0,0,0
004168721,0,0,0
004168731,0,0,0
004168741,0,0,0
00417450,0,0,0
00421900,10,10,10
00421905,10,10,10
004213111514,0,0,0
004213112514,0,0,0
004213181514,0,0,0
004213201524GL,4,4,4
004213201534GL,0,0,0
004213202534GL,0,0,0
004213382514,1,1,1
004213581514GL,0,0,0
004213582514GL,0,0,0
004253112514,10,10,10
004253112524,10,10,10
004253131514,1,1,1
004253132514,0,0,0
004253152514,10,10,10
00426711,10,10,10
00426712,10,10,10
00426713,10,10,10
00426714,9,9,9
004268711,0,0,0
004268721,0,0,0
004268751,0,0,0
004268761,0,0,0
004293131514,0,0,0
004293132514,0,0,0
004293271514,3,3,3
004293272514,3,3,3
004308711,0,0,0
004308721,0,0,0
004303132514,0,0,0
004303142514,2,2,2
004303221514,0,0,0
004303222514,0,0,0
004303241514,10,10,10
004303251514,7,7,7
004303281514GL,0,0,0
004303282514GL,1,1,1
004304182514,0,0,0
00431488,0,0,0
004318721,0,0,0
004318731,0,0,0
00433720,10,10,10
00433831,10,10,10
00433832,10,10,10
004338711,1,1,1
004338721,0,0,0
00435870,10,10,10
00435870S,10,10,10
004358711,0,0,0
004358721,0,0,0
00436870,10,10,10
00436870C,9,9,9
00436870S,7,7,7
004408711,0,0,0
004408721,0,0,0
004418711,0,0,0
004418721,0,0,0
004428711,0,0,0
004428721,0,0,0
004438711,0,0,0
004438721,0,0,0
004448711,0,0,0
004448721,0,0,0
004458711,0,0,0
004458721,0,0,0
004468711,0,0,0
004468721,0,0,0
0070150001B,10,10,10
0070160001,10,10,10
0070160002,10,10,10
0070160003,10,10,10
0070160006,7,7,7
0070160007,10,10,10
0070160009,10,10,10
0070170001,10,10,10
0070170002,5,5,5
0070170003,10,10,10
0070170005,10,10,10
0070170006,10,10,10
0070180001,0,0,0
0070250002,10,10,10
0070250003,10,10,10
0070250004,10,10,10
007026001,10,10,10
007026002,10,10,10
007026003,10,10,10
007028001,10,10,10
007213121514,2,2,2
007263122524,0,0,0
007303422514,1,1,1
0080150003,0,0,0
0080150004,10,10,10
0080160006,10,10,10
0080160009,10,10,10
0080160011,3,3,3
0080160013,10,10,10
0080160014,7,7,7
0080160015,5,5,5
0080160016,6,6,6
0080170001,10,10,10
0080170004,0,0,0
0080170014,0,0,0
0080170015B,0,0,0
0080250001,10,10,10
0080250002,10,10,10
008026001,9,9,9
0090140001,0,0,0
0090140002,0,0,0
0090140003,10,10,10
0090140004,5,5,5
0090140005,7,7,7
0090140007,9,9,9
0090140008,0,0,0
0090140009,3,3,3
0090140010,0,0,0
0090140011,10,10,10
0090140016,5,5,5
0090140017,0,0,0
0090150001,10,10,10
0090150002,10,10,10
0090150003,10,10,10
0090150004,10,10,10
0090150006B,10,10,10
0090150007B,10,10,10
0090150008B,10,10,10
0090150008BA,0,0,0
0090150009,10,10,10
0090150014,0,0,0
0090150015BRP,2,2,2
0090150016B,0,0,0
0090150017,10,10,10
0090160001,7,7,7
0090160002,10,10,10
0090160003,0,0,0
0090160004,10,10,10
0090160006,9,9,9
0090160007,10,10,10
0090160008,10,10,10
0090160009,10,10,10
0090160011,10,10,10
0090160015,10,10,10
0090160016,10,10,10
0090160017,10,10,10
0090160018,5,5,5
0090160020,10,10,10
0090160021,10,10,10
0090160022,10,10,10
0090160025,10,10,10
0090160026,10,10,10
0090160027,10,10,10
0090160028,10,10,10
0090160029,10,10,10
0090160030,10,10,10
0090160032,6,6,6
0090160034,10,10,10
0090160035,10,10,10
0090170002,0,0,0
0090170003,4,4,4
0090170004,7,7,7
0090170006,1,1,1
0090170008,0,0,0
0090170010,6,6,6
0090170011,10,10,10
0090170012,2,2,2
0090170014,4,4,4
0090170015,10,10,10
0090170016,10,10,10
0090170017,0,0,0
0090170019,10,10,10
0090170021,3,3,3
0090170022,10,10,10
0090170026,10,10,10
0090170027,4,4,4
0090170028,0,0,0
0090170037,0,0,0
0090170038,6,6,6
0090170039,10,10,10
0090170040,0,0,0
0090170040B,0,0,0
0090170043,10,10,10
0090170044,6,6,6
0090170045,0,0,0
0090170046,1,1,1
0090170047,10,10,10
0090170049,10,10,10
0090170056B,4,4,4
0090170057,10,10,10
0090170060B,7,7,7
0090170061,2,2,2
0090170063B,0,0,0
0090170067,7,7,7
0090170068,1,1,1
0090170069,10,10,10
0090170070,10,10,10
0090180001,5,5,5
0090180002,10,10,10
0090180003,10,10,10
0090180005,7,7,7
0090180007,10,10,10
0090180009,6,6,6
0090180010,0,0,0
0090180022,10,10,10
0090180023,10,10,10
0090180024,10,10,10
0090180025,2,2,2
0090180026,4,4,4
0090180027,10,10,10
0090180028,0,0,0
0090220001,10,10,10
0090220002,4,4,4
0090220003,10,10,10
0090220004,10,10,10
0090220005,10,10,10
0090220006,10,10,10
0090220007,10,10,10
0090220008,10,10,10
0090220009,10,10,10
0090220010,0,0,0
0090220011,0,0,0
0090220012,0,0,0
0090250001,10,10,10
0090250002,10,10,10
0090250003,10,10,10
0090250004,10,10,10
0090250005,10,10,10
0090250006,10,10,10
0090250007,10,10,10
0090250008,0,0,0
0090250010,0,0,0
0090250011,0,0,0
0090250012,0,0,0
009028002,10,10,10
009213111514,10,10,10
009213111514GL,10,10,10
009213112514,10,10,10
009213112514GL,7,7,7
009213201514GL,1,1,1
009243110514,3,3,3
009243490514,0,0,0
009253111514,0,0,0
009253121514,10,10,10
009253121524,10,10,10
009253122514,1,1,1
009253131514,10,10,10
009253132514,10,10,10
009253142514,0,0,0
009253151514,0,0,0
00930900,10,10,10
00930905,10,10,10
00930920,10,10,10
00930925,10,10,10
009303140514,0,0,0
009303991514,1,1,1
00931900,10,10,10
00931905,10,10,10
00931905LED,10,10,10
00931920,10,10,10
00931925,10,10,10
00932457,0,0,0
0100140001,2,2,2
0100140002,5,5,5
0100140003,5,5,5
0100150001,10,10,10
0100160001,10,11,11
0100160002,10,10,10
0100160003,10,10,10
0100160004,0,0,0
0100170001,1,1,1
0100170001B,0,0,0
0100170002,4,4,4
0100170003,0,0,0
0100170004,10,10,10
0100170005,0,0,0
0100180002,10,10,10
0100180003,10,10,10
0100180004,9,9,9
0100180005,10,10,10
0100180006,0,0,0
0100180007,0,0,0
0100220001,10,10,10
0100220002,10,10,10
0100220003,8,8,8
0100250001,0,0,0
01003451,10,10,10
01003452,10,10,10
01005900LED,10,10,10
0103G01,10,10,10
0103G02,0,0,0
0103G03,2,2,2
0103G04,0,0,0
0103G05,0,0,0
0103M01,0,0,0
0103M03,0,0,0
0103M04,0,0,0
0103M05,0,0,0
0103M06,4,4,4
0103M08,0,0,0
0104M01,0,0,0
0104M02,0,0,0
0104M03,0,0,0
0104M04,0,0,0
0104M06RP,1,1,1
0104M07,0,0,0
0104M08,0,0,0
0105C01,0,0,0
0105C02,0,0,0
0105G03,0,0,0
0105M01,6,6,6
0105M02,6,6,6
0105M11,6,6,6
0107G01,10,10,10
0107G02,0,0,0
0107M01,0,0,0
0107M03,2,2,2
0107M04,0,0,0
0107M05RP,1,1,1
0108C01,0,0,0
0108C02,0,0,0
0108C03,10,10,10
0108C04,3,3,3
0108G01,10,10,10
0108G02,10,10,10
0108G03,10,10,10
0108M01,0,0,0
0108M02,0,0,0
0108M02RP,1,1,1
0108M03,4,4,4
0108M03RP,1,1,1
0108M04,0,0,0
0108M06,2,2,2
0108M08,0,0,0
0108M17,0,0,0
0108M18,0,0,0
0108M19,0,0,0
0110150001,8,8,8
0110150002,10,10,10
0110150003,2,2,2
0110160002,9,9,9
0110160003,0,0,0
0110160007,0,0,0
0110170001,10,10,10
0110170002,10,10,10
0110170004,0,0,0
0110170005,10,10,10
0110170006,10,10,10
0110170011,10,10,10
011213101514GL,0,0,0
011213102515GL,0,0,0
011213121524,0,0,0
011213122524,0,0,0
011213131524RP,1,1,1
011253121514,10,10,10
011253122514,3,3,3
011293111524,0,0,0
011293112524,0,0,0
011293131514,4,4,4
011303102514,0,0,0
0111G0301,2,2,2
0111G0401,1,1,1
0111G0501,5,5,5
0114M03,4,4,4
0114M04,10,10,10
0115G01,10,10,10
0115M01,0,0,0
0115M02,0,0,0
0115M03,5,5,5
0115M04,4,4,4
0116G01,0,0,0
012213111525,10,10,10
012213112525,10,10,10
012213122525,4,4,4
012213131525,4,4,4
012213132525,0,0,0
012253101515,10,10,10
012253102515,10,10,10
012303121515,10,10,10
012303122515,0,0,0
012303141515,5,5,5
0140130001,0,0,0
0140130002,10,10,10
0140130004,10,10,10
0140130006,10,10,10
0140130011,10,10,10
0140130014,0,0,0
0140130015,3,3,3
0140130016,10,10,10
0140250001,10,10,10
0140250002,10,10,10
0140250003,5,5,5
0140250004,10,10,10
0140250005,10,10,10
0140250007,10,10,10
0140250008,10,10,10
0140250010,10,10,10
0140250011,10,10,10
0140250012,5,5,5
0140250014,3,3,3
0140250015,10,10,10
0140250016,0,0,0
0140250017,8,8,8
0140250018,10,10,10
0140250019,7,7,7
0140250020,10,10,10
0140250022,0,0,0
0140250023,0,0,0
0140250024,0,0,0
0140250025,0,0,0
0140250026,0,0,0
0140250027,0,0,0
0140250028,0,0,0
0140250029,0,0,0
0140250030,0,0,0
0150160001,10,10,10
0150160002,10,10,10
015028001,9,9,9
0160140001,0,0,0
0160140003,6,6,6
0160140004R,8,8,8
0160140005,0,0,0
0160140014,10,10,10
